STABR,BKVOL,EBOOK,AUDIO_PH,AUDIO_DL,VIDEO_PH,VIDEO_DL
AK,2316276,1424911,121966,1053922,315481,33533
AL,8661510,7435774,440694,3126025,693942,357352
AR,5868485,2834473,264090,1663667,541492,119992
AS,43843,1265,895,0,365,0
AZ,7735596,6632211,570951,5123250,1090966,304966
CA,65468846,16267659,3393576,7358588,5634961,1175221
CO,9573880,3500009,779874,2834198,1392030,419024
CT,13473862,2796190,826026,1203349,1231126,34377
DC,1003834,30301,28646,13612,87828,903
DE,1391278,517986,113091,146265,178978,18123
FL,26890473,6634914,1717992,153293470,3374837,709039
GA,15566186,865932,514788,657456,1331401,88746
GU,276631,0,352,0,1663,0
HI,2904696,93179,170336,28547,171305,0
IA,11835480,20303893,653905,8624105,1163909,61002
ID,4208402,594463,228712,394560,372703,905
IL,39423902,28046304,2855989,13274327,3740123,795011
IN,21346938,9472517,1377767,2220960,2234646,179584
KS,8793941,36765582,478957,9864031,976608,29172
KY,8926591,15485842,530568,3721121,951872,320058
LA,11589362,5364069,462866,33430862,1300491,421829
MA,29215324,19092481,1524089,5430615,2117267,513767
MD,10750102,2283056,868491,1955454,1092532,412967
ME,6082328,2573626,245462,1349667,437274,67954
MI,27293955,11666961,1936313,6854279,2760346,1014081
MN,13594159,5874320,802328,1026736,1067825,35784
MO,15968472,6401557,954399,1554062,1321379,166921
MP,92000,5000,280,0,4668,0
MS,5570047,1107029,191468,446090,402599,53594
MT,2448227,1589175,117068,1216548,223254,1500
NC,15446036,8015383,657013,1314690,878303,156671
ND,2176439,1034484,93480,996820,141233,38887
NE,5642522,4665489,240039,2777147,392671,13497
NH,5689733,6194874,284216,4053444,518200,98122
NJ,25699210,10043792,1874107,6011058,2346491,1379302
NM,4182485,857894,212127,477427,383294,60315
NV,3841636,603035,282923,241615,579122,80025
NY,65596015,33912817,3471779,7875083,5610462,335674
OH,39485746,98929578,3227354,41843205,5677672,5536747
OK,6230792,4763448,351304,1234256,566347,105982
OR,8798725,7303131,637667,4425337,976559,93785
PA,24144319,27988200,1739040,60039849,2093393,4304750
RI,3390958,3160067,151061,1003992,268527,35974
SC,8580829,2674231,431649,2018652,754934,190007
SD,2766567,1591363,130188,661779,165657,1928
TN,10961559,22437424,514741,10289229,761919,635249
TX,38462301,14469114,1913690,5720435,3475250,555998
UT,6399687,3175961,595340,2593391,690832,121576
VA,15785390,16933624,916141,21622738,1358704,650398
VI,-1,-1,-1,-1,-1,-1
VT,2975733,1195738,135161,1015642,233378,45717
WA,12268162,4497017,982788,1598542,1438910,190433
WI,17861672,58724841,1484590,19898968,2219477,619065
WV,4896731,7071471,212141,15117631,362329,314518
WY,2228632,893215,164629,370077,249865,31513
